datetime,machine,cpu_vendor,cpu_model,cpu_ncores,mem_total,mem_free,sys_name,sys_ver,build_success,time_elapsed,uptime_min
2022-08-14 23:30:14,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 2.20GHz,2,7.76 GiB,6.77 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,2.914632753531138,188.92525147199632
2022-08-14 23:35:09,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 2.20GHz,2,7.76 GiB,6.75 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,2.942095124721527,193.8187593738238
2022-08-16 12:28:39,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 3.10GHz,4,15.62 GiB,14.68 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,7.268443349997202,NA
2022-08-16 12:31:53,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 3.10GHz,4,15.62 GiB,14.53 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,1.8306763569513957,NA
2022-08-16 12:41:28,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 3.10GHz,4,15.62 GiB,14.43 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,1.8001042366027833,NA
2022-08-17 17:33:39,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 2.30GHz,2,7.27 GiB,6.46 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,9.685152995586396,NA
2022-08-17 17:37:20,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 2.30GHz,2,7.27 GiB,6.19 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,2.7560465057690937,NA
2022-08-17 19:38:02,x86_64,GenuineIntel,Intel(R) Xeon(R) CPU @ 2.30GHz,2,7.27 GiB,6.45 GiB,Linux,#21~20.04.1-Ubuntu SMP Fri Aug 5 12:53:07 UTC 2022,TRUE,11.058845671017965,NA
